task,synonym
"Common sense","Commonsense Reasoning"
"Dialogue act classification","Dialogue Act Recognition"
"Chunking","Shallow parsing"
"AMR parsing","Abstract Meaning Representation Parsing"
"SQL parsing","Text-to-SQL"
"Named entity recognition", "Entity recognition"
"Lexical Normalization", "Text Normalization"
"Temporal Information Extraction","Temporal Relation Extraction"
"Timex normalisation","Temporal expression normalisation"
"Relationship Extraction","Relation Extraction"
"Part-of-speech tagging","POS tagging"
"Word Level Models","Language Model"
"Character Level Models","Language Model"
"Stance detection","Stance classification"
